品种,批发市场,最高价,最低价,大宗价,单位,提取时间
富士苹果,山西太原丈子头农产品物流园（原城东利民）,10.2,9,9.7,元/公斤,2025-9-16 17:50
酥梨,山西太原丈子头农产品物流园（原城东利民）,4.2,3.4,3.8,元/公斤,2025-9-16 17:50
香梨,山西太原丈子头农产品物流园（原城东利民）,5,4.6,4.8,元/公斤,2025-9-16 17:50
葡萄,山西太原丈子头农产品物流园（原城东利民）,5.1,4.4,4.7,元/公斤,2025-9-16 17:50
草莓,山西太原丈子头农产品物流园（原城东利民）,36,31,32,元/公斤,2025-9-16 17:50
大枣,山西太原丈子头农产品物流园（原城东利民）,19,13,17,元/公斤,2025-9-16 17:50
砂糖橘,山西太原丈子头农产品物流园（原城东利民）,11.8,10,11.3,元/公斤,2025-9-16 17:50
橙子,山西太原丈子头农产品物流园（原城东利民）,6.6,6.2,6.5,元/公斤,2025-9-16 17:50
龙眼(乌圆),山西太原丈子头农产品物流园（原城东利民）,14.1,12,13,元/公斤,2025-9-16 17:50
土豆,阳泉农产品批发市场有限公司,,,1.6,元/公斤,2025-9-16 17:50
豆角,阳泉农产品批发市场有限公司,,,3.5,元/公斤,2025-9-16 17:50
冬瓜,阳泉农产品批发市场有限公司,,,0.7,元/公斤,2025-9-16 17:50
西葫芦,阳泉农产品批发市场有限公司,,,4,元/公斤,2025-9-16 17:50
黄瓜,阳泉农产品批发市场有限公司,,,4.4,元/公斤,2025-9-16 17:50
茄子,阳泉农产品批发市场有限公司,,,2.6,元/公斤,2025-9-16 17:50
青椒,阳泉农产品批发市场有限公司,,,4.8,元/公斤,2025-9-16 17:50
尖椒,阳泉农产品批发市场有限公司,,,5,元/公斤,2025-9-16 17:50
西红柿,阳泉农产品批发市场有限公司,,,4,元/公斤,2025-9-16 17:50
菜花,阳泉农产品批发市场有限公司,,,5,元/公斤,2025-9-16 17:50
蒜薹,阳泉农产品批发市场有限公司,,,4.4,元/公斤,2025-9-16 17:50
芹菜,阳泉农产品批发市场有限公司,,,4,元/公斤,2025-9-16 17:50
